scenario,runtime,run,status,elapsed_ms,wall_seconds
textdoc_invoice,python,2,ok,162.732,0.20794329198542982
textdoc_invoice,python,3,ok,164.699,0.20766319998074323
textdoc_invoice,python,4,ok,160.448,0.20304565003607422
textdoc_invoice,python,5,ok,161.69,0.20460006000939757
textdoc_invoice,oscript,1,exit=1,,0.20404522598255426
xml_parse,lua,1,ok,1908.0,2.1068127809558064
xml_parse,lua,2,ok,1900.0,2.096264890045859
xml_parse,lua,3,ok,1898.0,2.102008798974566
xml_parse,lua,4,ok,1941.0,2.13741717801895
xml_parse,lua,5,ok,1941.0,2.1410735819954425
xml_parse,luajit,1,ok,1166.0,1.3745551019674167
xml_parse,luajit,2,ok,1158.0,1.3686150420689955
xml_parse,luajit,3,ok,1159.0,1.3640834119869396
xml_parse,luajit,4,ok,1111.0,1.313823102042079
xml_parse,luajit,5,ok,1117.0,1.3193932789145038
xml_parse,python,1,ok,873.514,1.1794805659446865
xml_parse,python,2,ok,869.85,1.1739080480765551
xml_parse,python,3,ok,857.763,1.1617488369811326
xml_parse,python,4,ok,866.508,1.169233156950213
xml_parse,python,5,ok,868.161,1.1717721238965169
xml_parse,oscript,1,ok,2971.0,4.171992160961963
xml_parse,oscript,2,ok,3012.0,4.153821359039284
xml_parse,oscript,3,ok,3075.0,4.21428099705372
xml_parse,oscript,4,ok,2996.0,4.123508525080979
xml_parse,oscript,5,ok,3045.0,4.1821333901025355
xml_write,lua,1,ok,84.0,0.0947380589786917
xml_write,lua,2,ok,85.0,0.0924982640426606
xml_write,lua,3,ok,84.0,0.09183354896958917
xml_write,lua,4,ok,84.0,0.0912907860474661
xml_write,lua,5,ok,89.0,0.09644502005539834
xml_write,luajit,1,ok,68.0,0.07849253003951162
xml_write,luajit,2,ok,68.0,0.07795226597227156
xml_write,luajit,3,ok,69.0,0.07857146998867393
xml_write,luajit,4,ok,71.0,0.0798222190933302
xml_write,luajit,5,ok,70.0,0.07977834797929972
xml_write,python,1,ok,729.525,0.776985181029886
xml_write,python,2,ok,718.227,0.7642338949954137
xml_write,python,3,ok,749.456,0.7963986319955438
xml_write,python,4,ok,728.519,0.7757489130599424
xml_write,python,5,ok,726.692,0.7727839020080864
xml_write,oscript,1,ok,1512.0,1.7482132719596848
xml_write,oscript,2,ok,1497.0,1.7486169449985027
xml_write,oscript,3,ok,1563.0,1.7891677080187947
xml_write,oscript,4,ok,1523.0,1.7561037660343572
xml_write,oscript,5,ok,1517.0,1.7571875330759212
zip_read,lua,,unavailable,,
zip_read,luajit,,unavailable,,
zip_read,python,1,ok,13.754,0.04044584301300347
zip_read,python,2,ok,13.758,0.04165463102981448
zip_read,python,3,ok,13.734,0.041826831991784275
zip_read,python,4,ok,13.065,0.03898040298372507
zip_read,python,5,ok,13.315,0.039602997014299035
zip_read,oscript,1,ok,79.0,0.3559200409799814
zip_read,oscript,2,ok,83.0,0.35533186700195074
zip_read,oscript,3,ok,79.0,0.34652882791124284
zip_read,oscript,4,ok,79.0,0.346134343999438
zip_read,oscript,5,ok,84.0,0.34198013704735786
zip_write,lua,,unavailable,,
zip_write,luajit,,unavailable,,
zip_write,python,1,ok,112.014,0.14044976804871112
zip_write,python,2,ok,114.148,0.1425073710270226
zip_write,python,3,ok,112.167,0.14032291597686708
zip_write,python,4,ok,115.542,0.14475252595730126
zip_write,python,5,ok,110.766,0.14132293302100152
zip_write,oscript,1,ok,174.0,0.4395653649698943
zip_write,oscript,2,ok,155.0,0.4280120269395411
zip_write,oscript,3,ok,168.0,0.43194829404819757
zip_write,oscript,4,ok,156.0,0.4071471559582278
zip_write,oscript,5,ok,166.0,0.43018380203284323
